                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                0.57883,                0.38978,                      0,                0.64296,                0.36118,                      0,                0.66424,                0.61698,                0.58343,                0.38406,                      0,                      0,                      0,                      0,                      0,                      0,              0.0004258,              0.0004258,              0.0004258
                     61,                0.59104,                0.40513,                      0,                0.66147,                0.38767,                      0,                0.63813,                0.59923,                0.61226,                0.41297,                      0,                      0,                      0,                      0,                      0,                      0,              0.0004159,              0.0004159,              0.0004159
                     62,                0.57704,                 0.3865,                      0,                0.64338,                0.36479,                      0,                0.66876,                0.60024,                 0.5896,                0.38922,                      0,                      0,                      0,                      0,                      0,                      0,               0.000406,               0.000406,               0.000406
                     63,                0.57091,                0.37944,                      0,                 0.6366,                0.35559,                      0,                 0.6733,                0.57453,                0.64813,                0.41732,                      0,                      0,                      0,                      0,                      0,                      0,              0.0003961,              0.0003961,              0.0003961
                     64,                0.57968,                0.38352,                      0,                0.64318,                 0.3578,                      0,                0.62431,                0.53925,                0.58048,                0.37853,                      0,                      0,                      0,                      0,                      0,                      0,              0.0003862,              0.0003862,              0.0003862
                     65,                0.57716,                0.38976,                      0,                 0.6283,                0.36426,                      0,                0.72463,                 0.4938,                0.62274,                0.42743,                      0,                      0,                      0,                      0,                      0,                      0,              0.0003763,              0.0003763,              0.0003763
                     66,                0.56566,                0.38126,                      0,                0.62606,                0.35448,                      0,                0.77271,                0.47766,                0.63936,                0.43746,                      0,                      0,                      0,                      0,                      0,                      0,              0.0003664,              0.0003664,              0.0003664
                     67,                0.56711,                0.38388,                      0,                0.62807,                0.35413,                      0,                0.74053,                0.47038,                0.61849,                0.40823,                      0,                      0,                      0,                      0,                      0,                      0,              0.0003565,              0.0003565,              0.0003565
                     68,                0.58152,                0.38925,                      0,                0.64085,                0.35967,                      0,                 0.6633,                0.62237,                0.61198,                0.42138,                      0,                      0,                      0,                      0,                      0,                      0,              0.0003466,              0.0003466,              0.0003466
                     69,                0.57047,                0.38221,                      0,                0.62954,                0.35382,                      0,                0.65238,                0.49735,                0.60311,                0.43061,                      0,                      0,                      0,                      0,                      0,                      0,              0.0003367,              0.0003367,              0.0003367
                     70,                0.56149,                0.37486,                      0,                0.62263,                0.34691,                      0,                 0.6539,                0.52166,                0.62289,                0.42074,                      0,                      0,                      0,                      0,                      0,                      0,              0.0003268,              0.0003268,              0.0003268
                     71,                0.56521,                0.37836,                      0,                 0.6193,                0.34722,                      0,                 0.6836,                0.54293,                0.66007,                0.44471,                      0,                      0,                      0,                      0,                      0,                      0,              0.0003169,              0.0003169,              0.0003169
                     72,                0.55128,                0.36906,                      0,                0.60603,                0.33821,                      0,                0.65567,                0.54792,                0.59684,                0.40475,                      0,                      0,                      0,                      0,                      0,                      0,               0.000307,               0.000307,               0.000307
                     73,                0.54112,                0.36348,                      0,                0.59531,                0.33426,                      0,                0.60326,                0.54618,                 0.5882,                0.38875,                      0,                      0,                      0,                      0,                      0,                      0,              0.0002971,              0.0002971,              0.0002971
                     74,                0.55142,                0.36626,                      0,                0.60869,                0.33619,                      0,                0.58918,                0.60813,                0.59906,                0.40126,                      0,                      0,                      0,                      0,                      0,                      0,              0.0002872,              0.0002872,              0.0002872
                     75,                0.52918,                0.36116,                      0,                0.58367,                0.32822,                      0,                0.61973,                0.66628,                 0.6253,                0.43519,                      0,                      0,                      0,                      0,                      0,                      0,              0.0002773,              0.0002773,              0.0002773
                     76,                0.53044,                0.36006,                      0,                0.59697,                 0.3369,                      0,                 0.7449,                0.46841,                0.64302,                0.45564,                      0,                      0,                      0,                      0,                      0,                      0,              0.0002674,              0.0002674,              0.0002674
                     77,                0.54296,                0.37059,                      0,                0.60621,                0.33706,                      0,                0.63898,                0.61341,                0.61014,                0.40875,                      0,                      0,                      0,                      0,                      0,                      0,              0.0002575,              0.0002575,              0.0002575
                     78,                 0.5419,                0.36421,                      0,                    0.6,                0.33733,                      0,                0.67797,                0.57144,                0.62069,                0.43596,                      0,                      0,                      0,                      0,                      0,                      0,              0.0002476,              0.0002476,              0.0002476
                     79,                0.53048,                0.35777,                      0,                0.58421,                0.33139,                      0,                0.58885,                0.62944,                 0.5774,                 0.3859,                      0,                      0,                      0,                      0,                      0,                      0,              0.0002377,              0.0002377,              0.0002377
                     80,                0.52142,                0.35533,                      0,                0.57565,                0.32474,                      0,                0.68778,                0.49896,                0.60558,                0.42247,                      0,                      0,                      0,                      0,                      0,                      0,              0.0002278,              0.0002278,              0.0002278
                     81,                0.51287,                0.35872,                      0,                0.56918,                0.32634,                      0,                0.65821,                0.54782,                0.60505,                0.42049,                      0,                      0,                      0,                      0,                      0,                      0,              0.0002179,              0.0002179,              0.0002179
                     82,                0.51322,                0.34989,                      0,                0.56929,                0.32681,                      0,                0.61631,                 0.6334,                0.61212,                0.41076,                      0,                      0,                      0,                      0,                      0,                      0,               0.000208,               0.000208,               0.000208
                     83,                 0.5022,                0.34883,                      0,                0.55458,                0.32093,                      0,                0.58725,                0.56688,                0.61657,                0.41742,                      0,                      0,                      0,                      0,                      0,                      0,              0.0001981,              0.0001981,              0.0001981
                     84,                   0.51,                0.34806,                      0,                0.56875,                0.31568,                      0,                0.59454,                0.55449,                0.54822,                0.38487,                      0,                      0,                      0,                      0,                      0,                      0,              0.0001882,              0.0001882,              0.0001882
                     85,                0.50755,                0.34494,                      0,                 0.5601,                0.31222,                      0,                0.61741,                0.53117,                0.57798,                0.42027,                      0,                      0,                      0,                      0,                      0,                      0,              0.0001783,              0.0001783,              0.0001783
                     86,                0.50615,                0.34436,                      0,                0.55719,                0.31248,                      0,                0.60192,                0.55006,                 0.5863,                0.41995,                      0,                      0,                      0,                      0,                      0,                      0,              0.0001684,              0.0001684,              0.0001684
                     87,                0.51794,                0.35239,                      0,                0.57516,                0.31997,                      0,                0.64592,                 0.5348,                0.58742,                0.41238,                      0,                      0,                      0,                      0,                      0,                      0,              0.0001585,              0.0001585,              0.0001585
                     88,                0.50844,                0.34394,                      0,                0.55756,                 0.3071,                      0,                0.59991,                 0.5456,                0.57682,                0.40531,                      0,                      0,                      0,                      0,                      0,                      0,              0.0001486,              0.0001486,              0.0001486
                     89,                0.50315,                0.34265,                      0,                0.55668,                0.31157,                      0,                0.62245,                0.53248,                0.59604,                0.42252,                      0,                      0,                      0,                      0,                      0,                      0,              0.0001387,              0.0001387,              0.0001387
                     90,                 0.5008,                0.34156,                      0,                0.55606,                  0.314,                      0,                0.61932,                0.55716,                0.59146,                0.41601,                      0,                      0,                      0,                      0,                      0,                      0,              0.0001288,              0.0001288,              0.0001288
                     91,                0.50433,                0.32798,                      0,                0.54761,                0.27797,                      0,                0.58945,                0.61036,                0.59441,                0.41245,                      0,                      0,                      0,                      0,                      0,                      0,              0.0001189,              0.0001189,              0.0001189
                     92,                0.47826,                0.31892,                      0,                 0.5218,                0.26814,                      0,                 0.5455,                0.64607,                0.61015,                0.40652,                      0,                      0,                      0,                      0,                      0,                      0,               0.000109,               0.000109,               0.000109
                     93,                 0.4687,                0.31533,                      0,                0.51456,                0.26854,                      0,                 0.6363,                0.55552,                0.60498,                0.43127,                      0,                      0,                      0,                      0,                      0,                      0,               9.91e-05,               9.91e-05,               9.91e-05
                     94,                0.45848,                0.31776,                      0,                0.49779,                 0.2677,                      0,                0.66987,                0.45886,                0.59274,                 0.4163,                      0,                      0,                      0,                      0,                      0,                      0,               8.92e-05,               8.92e-05,               8.92e-05
                     95,                0.46174,                0.31259,                      0,                0.50437,                0.26865,                      0,                0.65477,                0.56571,                0.60476,                0.43611,                      0,                      0,                      0,                      0,                      0,                      0,               7.93e-05,               7.93e-05,               7.93e-05
                     96,                0.46089,                0.30966,                      0,                0.50394,                0.25931,                      0,                0.61076,                0.55542,                 0.5887,                0.43105,                      0,                      0,                      0,                      0,                      0,                      0,               6.94e-05,               6.94e-05,               6.94e-05
